counter.status.200.metrics,counter.status.200.root
11,90
12,94
13,98
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,115
28,126
29,140
30,153
31,164
32,174
33,185
34,194
35,199
36,200
37,200
38,200
39,200
40,200
41,200
42,200
43,200
44,200
45,200
46,200
47,200
48,200
49,200
50,200
51,200
52,200
53,200
54,200
55,200
56,200
57,200
58,200
59,200
60,200
61,200
62,200
63,200
64,200
65,200
66,200
67,200
68,200
69,200
70,200
71,200
72,200
73,200
74,200
75,200
76,200
77,200
78,200
79,200
80,200
81,200
82,200
83,200
84,208
85,220
86,233
87,248
88,261
89,275
90,287
91,297
92,299
93,300
94,300
95,300
96,300
97,300
98,300
99,300
